cajero,tick,utilizacion
Cajero_11_11,113,0
Cajero_11_11,114,0
Cajero_11_11,115,0
Cajero_11_11,116,0
Cajero_11_11,117,0
Cajero_11_11,118,0
Cajero_11_11,119,0
Cajero_11_11,120,0
Cajero_11_11,121,1
Cajero_11_11,122,1
Cajero_11_11,123,1
Cajero_11_11,124,1
Cajero_11_11,125,1
Cajero_11_11,126,1
Cajero_11_11,127,1
Cajero_11_11,128,1
Cajero_11_11,129,0
Cajero_11_11,130,0
Cajero_11_11,131,0
Cajero_11_11,132,0
Cajero_11_11,133,0
Cajero_11_11,134,0
Cajero_11_11,135,0
Cajero_11_11,136,0
Cajero_11_11,137,0
Cajero_11_11,138,0
Cajero_11_11,139,0
Cajero_11_11,140,0
Cajero_11_11,141,0
Cajero_11_11,142,0
Cajero_11_11,143,0
Cajero_11_11,144,0
Cajero_11_11,145,0
Cajero_11_11,146,0
Cajero_11_11,147,0
Cajero_11_11,148,0
Cajero_11_11,149,0
Cajero_11_11,150,0
Cajero_11_11,151,0
Cajero_11_11,152,0
Cajero_11_11,153,0
Cajero_11_11,154,0
Cajero_11_11,155,0
Cajero_11_11,156,0
Cajero_11_11,157,0
Cajero_11_11,158,0
Cajero_11_11,159,0
Cajero_11_11,160,0
Cajero_11_11,161,0
Cajero_11_11,162,0
Cajero_11_11,163,0
Cajero_11_11,164,0
Cajero_11_11,165,0
Cajero_11_11,166,0
Cajero_11_11,167,0
Cajero_11_11,168,0
Cajero_11_11,169,0
Cajero_11_11,170,0
Cajero_11_11,171,0
Cajero_11_11,172,0
Cajero_11_11,173,0
Cajero_11_11,174,0
Cajero_11_11,175,0
Cajero_11_11,176,0
Cajero_11_11,177,0
Cajero_11_11,178,0
Cajero_11_11,179,0
Cajero_11_11,180,0
Cajero_11_11,181,0
Cajero_11_11,182,0
Cajero_11_11,183,0
Cajero_11_11,184,0
Cajero_11_11,185,0
Cajero_11_11,186,0
Cajero_11_11,187,0
Cajero_11_11,188,0
Cajero_11_11,189,0
Cajero_11_11,190,0
Cajero_11_11,191,0
Cajero_11_11,192,0
Cajero_11_11,193,0
Cajero_11_11,194,0
Cajero_11_11,195,0
Cajero_11_11,196,0
Cajero_11_11,197,1
Cajero_11_11,198,1
Cajero_11_11,199,1
Cajero_11_11,200,1
Cajero_11_11,201,1
Cajero_11_11,202,1
Cajero_11_11,203,1
Cajero_11_11,204,1
Cajero_11_11,205,1
Cajero_11_11,206,1
Cajero_11_11,207,1
Cajero_11_11,208,0
